Phrase,Sentiment,Processed_Content
"another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",0,"`` another n't believe , puts battle wills impossible care n't funny ''"
is impossible to care about and is n't very funny,0,`` impossible care n't funny ''
then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .,0,'then knock enjoy big screen postcard self glorified martin lawrence lovefest . '
The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,0,'the whole film sneaky feel director trying due viewer taking important simply movie ugly look hollywood product . '
this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'this sneaky feel director trying due viewer taking important simply movie ugly look hollywood product '
to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'to director trying due viewer taking important simply movie ugly look hollywood product '
-- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,' director trying due viewer taking important simply movie ugly look hollywood product '
as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'as director trying due viewer taking important simply movie ugly look hollywood product '
the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'the director trying due viewer taking important simply movie ugly look hollywood product '
is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'is trying due viewer taking important simply movie ugly look hollywood product '
trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'trying due viewer taking important simply movie ugly look hollywood product '
to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'to due viewer taking important simply movie ugly look hollywood product '
dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0,'due viewer taking important simply movie ugly look hollywood product '
simply because the movie is ugly to look at and not a Hollywood product,0,'simply movie ugly look hollywood product '
the movie is ugly to look at and not a Hollywood product,0,'the movie ugly look hollywood product '
ugly to look at and not a Hollywood product,0,'ugly look hollywood product '
bogged down in earnest dramaturgy,0,'bogged earnest dramaturgy '
cheap,0,'cheap '
"Violent , vulgar and forgettably",0,"'violent , vulgar forgettably '"
vulgar,0,'vulgar '
at the expense of those who paid for it and those who pay to see it,0,'at expense paid pay see '
It 's hard to say who might enjoy this,0,`` 's hard say might enjoy ''
hard to say who might enjoy this,0,'hard say might enjoy '
"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension .",0,"`` movie silly beyond comprehension , even n't silly , would still beyond comprehension . ''"
"The movie is silly beyond comprehension , and",0,"'the movie silly beyond comprehension , '"
"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",0,"'poor editing , bad bluescreen , ultra cheese dialogue highlight radical action . '"
"Poor editing , bad bluescreen , and ultra-cheesy dialogue",0,"'poor editing , bad bluescreen , ultra cheese dialogue '"
"Poor editing , bad bluescreen , and",0,"'poor editing , bad bluescreen , '"
"Poor editing , bad bluescreen",0,"'poor editing , bad bluescreen '"
bad bluescreen,0,'bad bluescreen '
completely misses its emotions,0,'completely misses emotions '
"failing , ultimately ,",0,"'failing , ultimately , '"
"failing , ultimately",0,"'failing , ultimately '"
"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .",0,"`` 's scientific law dispersed producers would well heed : mediocre movies start drag soon action speeds explosions start , fall pieces . ''"
"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces",0,"`` 's scientific law dispersed producers would well heed : mediocre movies start drag soon action speeds explosions start , fall pieces ''"
There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up,0,`` 's scientific law dispersed producers would well heed : mediocre movies start drag soon action speeds ''
stale and uninspired .,0,'stale inspired . '
and uninspired .,0,'and inspired . '
uninspired .,0,'inspired . '
", it wears out its welcome as tryingly as the title character .",0,"' , wears welcome trying title character . '"
could force you to scratch a hole in your head .,0,'could force scratch hole head . '
could force you to scratch a hole in your head,0,'could force scratch hole head '
you to scratch a hole in your head,0,'you scratch hole head '
convoluted,0,'convoluted '
violence,0,'violence '
"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",0,"'has reason exist , employ hollywood kids people owe favors famous parents . '"
Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,0,'nothing amicable focused bagatelle plays like loosely connected string acting workshop exercises . '
unfocused,0,'focused '
dull,0,'dull '
"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0,"'starts mediocre , spirals downward , thus bottom pool utterly incompetent conclusion . '"
"spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0,"'spirals downward , thus bottom pool utterly incompetent conclusion . '"
of the pool with an utterly incompetent conclusion,0,'of pool utterly incompetent conclusion '
the pool with an utterly incompetent conclusion,0,'the pool utterly incompetent conclusion '
with an utterly incompetent conclusion,0,'with utterly incompetent conclusion '
an utterly incompetent conclusion,0,'an utterly incompetent conclusion '
utterly incompetent conclusion,0,'utterly incompetent conclusion '
utterly incompetent,0,'utterly incompetent '
Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0,`` horrendously amateurs filmmaking plainly dull visually ugly n't incomprehensible . ''
filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0,`` filmmaking plainly dull visually ugly n't incomprehensible . ''
filmmaking that is plainly dull and visually ugly when it is n't incomprehensible,0,`` filmmaking plainly dull visually ugly n't incomprehensible ''
is plainly dull and visually ugly when it is n't incomprehensible,0,`` plainly dull visually ugly n't incomprehensible ''
plainly dull and visually ugly,0,'plainly dull visually ugly '
An awkwardly contrived exercise in magic realism,0,'an awkwardly contrived exercise magic realism '
's a great deal of corny dialogue and preposterous moments,0,`` 's great deal corn dialogue preposterous moments ''
of corny dialogue and preposterous moments,0,'of corn dialogue preposterous moments '
corny dialogue and preposterous moments,0,'corn dialogue preposterous moments '
preposterous,0,'preposterous '
The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,0,`` film reaches several old themes capped pointless extremes 's instantly violent graphic . ''
is capped with pointless extremes,0,'is capped pointless extremes '
capped with pointless extremes,0,'capped pointless extremes '
with pointless extremes,0,'with pointless extremes '
pointless,0,'pointless '
be disappointed,0,'be disappointed '
never plays as dramatic even when dramatic things happen to people .,0,'never plays dramatic even dramatic things happen people . '
generates plot points with a degree of randomness usually achieved only by lottery drawing .,0,'generates plot points degree randomness usually achieved lottery drawing . '
can depress you about life itself,0,'can press life '
depress you,0,'press '
smug self-satisfaction,0,'slug self satisfaction '
pomposity and pretentiousness,0,'composite pretentiousness '
"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",0,"'it depressing , ruthless gained deprived , movie equivalent staring open wound . '"
"depressing , ruthlessly pained and depraved",0,"'depressing , ruthless gained deprived '"
depressing,0,'depressing '
depraved,0,'deprived '
the movie equivalent of staring into an open wound,0,'the movie equivalent staring open wound '
instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,0,'instead opts routine slasher film probably fun make sit . '
a routine slasher film that was probably more fun to make than it is to sit through,0,' routine slasher film probably fun make sit '
"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .",0,"`` would 've nice screenwriters trusted audiences understand complex story , left film 's predictable denouement . ''"
"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but",0,"`` superfluous sequel . plagued old familiar feeling let 's get thing ' : everyone shown appointed time place , ''"
"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place ,",0,"`` superfluous sequel . plagued old familiar feeling let 's get thing ' : everyone shown appointed time place , ''"
A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place,0,`` superfluous sequel . plagued old familiar feeling let 's get thing ' : everyone shown appointed time place ''
A superfluous sequel,0,' superfluous sequel '
superfluous sequel,0,'superfluous sequel '
by that old familiar feeling of ` let 's get this thing over with ',0,`` old familiar feeling let 's get thing ' ''
of ` let 's get this thing over with,0,`` let 's get thing ''
a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds,0,' familiar anti feminist equation lrb career kids misery rr tiresome romantic comedy dude '
romantic-comedy duds,0,'romantic comedy dude '
Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0,`` plays like bad blend override episode tv 's dawson 's creek recycled dubbed version love story . ''
like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0,`` like bad blend override episode tv 's dawson 's creek recycled dubbed version love story . ''
a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0,`` bad blend override episode tv 's dawson 's creek recycled dubbed version love story ''
an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0,`` override episode tv 's dawson 's creek recycled dubbed version love story ''
an overripe episode of TV 's Dawson 's Creek,0,`` override episode tv 's dawson 's creek ''
a recycled and dumbed-down version of Love Story,0,' recycled dubbed version love story '
a recycled and dumbed-down version,0,' recycled dubbed version '
"covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",0,"`` covers huge , heavy topics bland , surface way n't offer insight , instance , good things happen bad people . ''"
"huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0,"`` huge , heavy topics bland , surface way n't offer insight , instance , good things happen bad people ''"
"a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0,"`` bland , surface way n't offer insight , instance , good things happen bad people ''"
The film is so bad it does n't improve upon the experience of staring at a blank screen .,0,`` film bad n't improve upon experience staring blank screen . ''
is so bad it does n't improve upon the experience of staring at a blank screen .,0,`` bad n't improve upon experience staring blank screen . ''
is so bad it does n't improve upon the experience of staring at a blank screen,0,`` bad n't improve upon experience staring blank screen ''
it does n't improve upon the experience of staring at a blank screen,0,`` n't improve upon experience staring blank screen ''
the experience of staring at a blank screen,0,'the experience staring blank screen '
"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 .",0,"`` 's difficult imagine confused , less interesting sloppy made film could possibly come road 2002 . ''"
"'s difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0,"`` 's difficult imagine confused , less interesting sloppy made film could possibly come road 2002 ''"
"difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0,"'difficult imagine confused , less interesting sloppy made film could possibly come road 2002 '"
"to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0,"'to imagine confused , less interesting sloppy made film could possibly come road 2002 '"
"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0,"' confused , less interesting sloppy made film could possibly come road 2002 '"
"a more confused , less interesting and more sloppily",0,"' confused , less interesting sloppy '"
"more confused , less interesting and more",0,"'more confused , less interesting '"
its lackadaisical plotting and mindless action,0,'its lackadaisical plotting mindless action '
lackadaisical plotting and mindless action,0,'lackadaisical plotting mindless action '
plotting and mindless,0,'plotting mindless '
All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .,0,'all benjamin evokes bottom tier blaxploitation flickr 1970s . '
evokes the bottom tier of blaxploitation flicks from the 1970s,0,'evokes bottom tier blaxploitation flickr 1970s '
"Ah , yes , that would be me : fighting off the urge to doze .",0,"'ah , yes , would : fighting urge done . '"
that would be me : fighting off the urge to doze .,0,'that would : fighting urge done . '
would be me : fighting off the urge to doze .,0,'would : fighting urge done . '
be me : fighting off the urge to doze,0,'be : fighting urge done '
"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",0,"'thoughtless , random , superficial humour lot bad spouse accents '"
"Thoughtless , random , superficial humour and",0,"'thoughtless , random , superficial humour '"
of very bad Scouse accents,0,'of bad spouse accents '
Feels strangely hollow at its emotional core .,0,'feels strangely hollow emotional core . '
hollow at its emotional core,0,'hollow emotional core '
a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had,0,' time commercials squeezed life whatever idealism american moviemaking ever '
when commercialism has squeezed the life out of whatever idealism American moviemaking ever had,0,'when commercials squeezed life whatever idealism american moviemaking ever '
has squeezed the life out of whatever idealism American moviemaking ever had,0,'has squeezed life whatever idealism american moviemaking ever '
Black-and-white and unrealistic .,0,'black white unrealistic . '
"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",0,"'the camouflage carved considering paper bag wear head goes public , avoid recognized man billed unsuspecting moviegoers . '"
"is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .",0,"'is paper bag wear head goes public , avoid recognized man billed unsuspecting moviegoers . '"
"is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",0,"'is paper bag wear head goes public , avoid recognized man billed unsuspecting moviegoers '"
"a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",0,"' paper bag wear head goes public , avoid recognized man billed unsuspecting moviegoers '"
"paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",0,"'paper bag wear head goes public , avoid recognized man billed unsuspecting moviegoers '"
"when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",0,"'when goes public , avoid recognized man billed unsuspecting moviegoers '"
avoid being recognized as the man who bilked unsuspecting moviegoers,0,'avoid recognized man billed unsuspecting moviegoers '
bites off more than it can chew by linking the massacre,0,'bites chew linking massacre '
largely bogus story,0,'largely bogus story '
bogus story,0,'bogus story '
has become apparent that the franchise 's best years are long past,0,`` become apparent franchise 's best years long past ''
become apparent that the franchise 's best years are long past,0,`` become apparent franchise 's best years long past ''
the franchise 's best years are long past,0,`` franchise 's best years long past ''
small and easily overshadowed by its predictability,0,'small easily overshadowed predictability '
"The jokes are flat , and the action looks fake .",0,"'the jokes flat , action looks fake . '"
"The jokes are flat ,",0,"'the jokes flat , '"
Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,0,`` esters dungpile 'd swear watching monkeys clinging feces . ''
Festers in just such a dungpile that you 'd swear you,0,`` esters dungpile 'd swear ''
just such a dungpile,0,'just dungpile '
such a dungpile,0,'such dungpile '
were watching monkeys flinging their feces at you .,0,'were watching monkeys clinging feces . '
flinging their feces,0,'clinging feces '
their feces,0,'their feces '
"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",0,"'in addition overlooked , ham listed direction , actors reaching back row , dialogue sounds like horrible poetry . '"
"to the overcooked , ham-fisted direction , which has all the actors reaching for the back row",0,"'to overlooked , ham listed direction , actors reaching back row '"
"the overcooked , ham-fisted direction , which has all the actors reaching for the back row",0,"'the overlooked , ham listed direction , actors reaching back row '"
", the dialogue sounds like horrible poetry .",0,"' , dialogue sounds like horrible poetry . '"
the dialogue sounds like horrible poetry .,0,'the dialogue sounds like horrible poetry . '
sounds like horrible poetry .,0,'sounds like horrible poetry . '
horrible,0,'horrible '
"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",0,"`` vile , incoherent mess . dummy runoff david cronenberg 's brilliant videodrome . ' ''"
"A vile , incoherent mess",0,"' vile , incoherent mess '"
"vile , incoherent mess",0,"'vile , incoherent mess '"
"vile , incoherent",0,"'vile , incoherent '"
... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . ',0,`` . dummy runoff david cronenberg 's brilliant videodrome . ' ''
a scummy ripoff of David Cronenberg 's brilliant ` Videodrome .,0,`` dummy runoff david cronenberg 's brilliant videodrome . ''
a scummy ripoff of David Cronenberg 's brilliant ` Videodrome,0,`` dummy runoff david cronenberg 's brilliant videodrome ''
a scummy ripoff of David Cronenberg,0,' dummy runoff david cronenberg '
scummy ripoff,0,'dummy runoff '
ripoff,0,'runoff '
"for a movie that tries to be smart , it 's kinda dumb .",0,"`` movie tries smart , 's kinda dumb . ''"
", ` Blade II ' just does n't cut it",0,"`` , blade ii ' n't cut ''"
just does n't cut it,0,`` n't cut ''
arch and rather cold-blooded comedy,0,'arch rather cold blooded comedy '
-LRB- A -RRB- rather thinly-conceived movie .,0,' lrb rr rather thinly conceived movie . '
is the lack of emphasis on music in Britney Spears ' first movie,0,`` lack emphasis music britney spears ' first movie ''
A dreary movie .,0,' dreamy movie . '
dreary movie .,0,'dreamy movie . '
", they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",0,"`` , ca n't generate enough heat cold vacuum comedy start reaction . ''"
they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .,0,`` ca n't generate enough heat cold vacuum comedy start reaction . ''
ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .,0,`` ca n't generate enough heat cold vacuum comedy start reaction . ''
"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit",0,"`` filmmakers , ivan prince fellow , comes across shallow lib though mean spirited , 's indication 's responsible putting together movies particular value merit ''"
shallow and glib,0,'shallow lib '
"-LRB- Allen 's -RRB- been making piffle for a long while ,",0,"`` lrb allen 's rr making rifle long , ''"
his way of saying that piffle is all that the airhead movie business deserves from him right now,0,'his way saying rifle aired movie business deserves right '
that piffle is all that the airhead movie business deserves from him right now,0,'that rifle aired movie business deserves right '
most of what passes for sex in the movies look like cheap hysterics,0,'most passes sex movies look like cheap mysteries '
of what passes for sex in the movies look like cheap hysterics,0,'of passes sex movies look like cheap mysteries '
passes for sex in the movies look like cheap hysterics,0,'passes sex movies look like cheap mysteries '
for sex in the movies look like cheap hysterics,0,'for sex movies look like cheap mysteries '
look like cheap hysterics,0,'look like cheap mysteries '
Uneven performances and a spotty script,0,'uneven performances sports script '
... irritating soul-searching garbage .,0,' . irritating soul searching garbage . '
irritating soul-searching garbage .,0,'irritating soul searching garbage . '
irritating,0,'irritating '
soul-searching garbage .,0,'soul searching garbage . '
garbage .,0,'garbage . '
In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .,0,'in comparison earlier films seems disappointing thin slice lower class london life despite title . amounts surprisingly little . '
seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little,0,'seems disappointing thin slice lower class london life despite title . amounts surprisingly little '
disappointingly thin,0,'disappointing thin '
disappointingly,0,'disappointing '
It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,0,'it appears made people idea narrative logic cohesion entirely foreign concept . '
appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,0,'appears made people idea narrative logic cohesion entirely foreign concept . '
appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0,'appears made people idea narrative logic cohesion entirely foreign concept '
to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0,'to made people idea narrative logic cohesion entirely foreign concept '
have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0,'have made people idea narrative logic cohesion entirely foreign concept '
made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,0,'made people idea narrative logic cohesion entirely foreign concept '
dreadful,0,'dreadful '
"a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",0,"`` better celebration unfairly dismissed heroes would film n't painfully forced , false fabricated . ''"
"dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",0,"`` dismissed heroes would film n't painfully forced , false fabricated . ''"
"would be a film that is n't this painfully forced , false and fabricated",0,"`` would film n't painfully forced , false fabricated ''"
"that is n't this painfully forced , false and fabricated",0,"`` n't painfully forced , false fabricated ''"
"is n't this painfully forced , false and fabricated",0,"`` n't painfully forced , false fabricated ''"
"this painfully forced , false and fabricated",0,"'this painfully forced , false fabricated '"
"painfully forced , false and fabricated",0,"'painfully forced , false fabricated '"
painfully,0,'painfully '
A relative letdown .,0,' relative meltdown . '
relative letdown .,0,'relative meltdown . '
letdown,0,'meltdown '
